+--------+--------+-------+--------------------+-----------+-----------+
|  cust  |  prod  | month |     avg_quant      | max_quant | min_quant |
+--------+--------+-------+--------------------+-----------+-----------+
|  Dan   | Apple  |   11  |       742.25       |    973    |    150    |
|  Chae  |  Ham   |   4   |       465.0        |    466    |    464    |
|  Mia   |  Fish  |   9   |       487.0        |    918    |     56    |
|  Chae  | Apple  |   12  |       574.0        |    581    |    567    |
| Wally  | Cherry |   5   |        738         |    738    |    738    |
| Claire | Grapes |   10  | 595.5714285714286  |    904    |    348    |
| Helen  |  Ham   |   8   |       428.6        |    826    |     56    |
|  Dan   |  Fish  |   12  |        184         |    184    |    184    |
|  Sam   |  Ice   |   8   | 416.6666666666667  |    810    |     87    |
| Claire | Jelly  |   12  |       420.0        |    821    |    138    |
| Helen  | Cherry |   1   |       347.25       |    684    |    112    |
|  Sam   |  Ham   |   12  | 594.6666666666666  |    820    |    293    |
| Claire | Cherry |   8   |       730.0        |    961    |    499    |
|  Chae  |  Ice   |   5   |       286.5        |    413    |    160    |
| Helen  | Cherry |   4   | 515.6666666666666  |    981    |    210    |
| Emily  | Apple  |   12  |       868.0        |    992    |    662    |
| Claire | Cherry |   3   |       643.0        |    819    |    467    |
|  Chae  | Grapes |   4   |         69         |     69    |     69    |
|  Mia   | Butter |   4   | 603.3333333333334  |    786    |    265    |
|  Sam   | Jelly  |   1   |       431.5        |    619    |    244    |
| Helen  | Jelly  |   2   | 530.3333333333334  |    663    |    408    |
|  Boo   | Cherry |   8   |       317.0        |    320    |    314    |
|  Boo   | Grapes |   2   |        319         |    319    |    319    |
| Wally  | Dates  |   6   | 279.3333333333333  |    438    |     86    |
| Helen  | Apple  |   8   |       461.0        |    974    |    149    |
|  Dan   |  Eggs  |   7   |        593         |    593    |    593    |
|  Boo   |  Eggs  |   1   | 477.14285714285717 |    861    |     61    |
| Helen  | Butter |   1   |       246.0        |    474    |     18    |
|  Sam   | Jelly  |   5   |       532.4        |    999    |    119    |
| Emily  | Dates  |   8   |        842         |    842    |    842    |
|  Dan   |  Ham   |   8   | 458.85714285714283 |    799    |    194    |
| Wally  |  Fish  |   3   | 688.3333333333334  |    879    |    545    |
|  Chae  |  Ice   |   7   | 278.3333333333333  |    447    |    162    |
| Emily  |  Ham   |   4   |        200         |    200    |    200    |
| Wally  |  Ham   |   1   | 389.3333333333333  |    793    |     53    |
| Helen  | Jelly  |   1   | 603.3333333333334  |    783    |    365    |
| Emily  | Cherry |   1   |       534.5        |    560    |    509    |
| Claire | Grapes |   2   |       329.0        |    370    |    288    |
|  Boo   |  Eggs  |   11  |       529.0        |    798    |    363    |
| Emily  |  Ham   |   10  |       745.75       |    993    |    152    |
| Wally  | Jelly  |   3   | 482.3333333333333  |    695    |    226    |
|  Mia   |  Eggs  |   5   |         81         |     81    |     81    |
| Helen  | Dates  |   8   |       514.0        |    648    |    380    |
| Emily  |  Fish  |   8   |       521.75       |    929    |    190    |
| Wally  |  Eggs  |   5   | 650.6666666666666  |    869    |    425    |
|  Mia   |  Ham   |   6   | 735.3333333333334  |    902    |    410    |
|  Sam   |  Ham   |   1   |        517         |    517    |    517    |
|  Mia   | Grapes |   9   |       453.0        |    834    |     72    |
|  Boo   | Apple  |   12  | 399.6666666666667  |    575    |    211    |
| Claire | Dates  |   5   |       682.5        |    853    |    284    |
|  Mia   | Jelly  |   5   | 594.3333333333334  |    997    |    267    |
| Wally  | Jelly  |   2   |       756.5        |    824    |    689    |
|  Dan   | Cherry |   1   |       551.6        |    923    |    141    |
|  Chae  | Dates  |   10  | 622.3333333333334  |    829    |    414    |
| Wally  | Cherry |   1   |        145         |    145    |    145    |
| Helen  | Jelly  |   5   |       668.5        |    976    |    361    |
| Wally  | Cherry |   12  | 440.3333333333333  |    865    |     53    |
|  Dan   |  Eggs  |   12  |        851         |    851    |    851    |
|  Sam   |  Ice   |   12  |        898         |    898    |    898    |
|  Mia   | Jelly  |   2   |       384.0        |    896    |     10    |
|  Chae  |  Eggs  |   10  | 649.6666666666666  |    993    |    361    |
|  Dan   | Jelly  |   6   | 579.3333333333334  |    700    |    422    |
|  Dan   | Grapes |   11  |       487.5        |    848    |     62    |
| Helen  | Butter |   10  | 482.3333333333333  |    832    |    173    |
|  Chae  |  Fish  |   9   |       146.5        |    184    |    109    |
|  Boo   | Jelly  |   11  |         98         |     98    |     98    |
| Helen  | Dates  |   11  | 596.3333333333334  |    950    |    113    |
|  Mia   | Grapes |   3   | 571.6666666666666  |    735    |    322    |
| Helen  |  Fish  |   2   |        345         |    345    |    345    |
|  Mia   | Apple  |   5   |       410.0        |    795    |     90    |
| Wally  | Grapes |   3   | 442.6666666666667  |    984    |     40    |
| Helen  |  Ham   |   1   |       365.75       |    652    |     26    |
| Helen  | Jelly  |   8   |       660.0        |    943    |    282    |
|  Boo   | Butter |   11  |       687.5        |    959    |    416    |
| Helen  |  Ham   |   3   |       302.0        |    487    |    117    |
| Wally  |  Ham   |   9   |       504.0        |    898    |    165    |
| Emily  | Jelly  |   8   |       598.5        |    600    |    597    |
|  Chae  |  Eggs  |   7   |       486.0        |    774    |    197    |
| Claire |  Eggs  |   2   |       342.0        |    353    |    331    |
|  Chae  |  Ham   |   11  |       510.5        |    521    |    500    |
|  Chae  | Dates  |   12  | 677.6666666666666  |    964    |    322    |
| Claire | Grapes |   5   | 459.3333333333333  |    738    |    206    |
|  Sam   | Cherry |   5   |        201         |    201    |    201    |
|  Dan   | Grapes |   8   |       740.0        |    949    |    621    |
| Claire | Grapes |   4   |        521         |    521    |    521    |
|  Boo   |  Ice   |   11  |       682.5        |    744    |    621    |
| Helen  |  Eggs  |   8   |       714.5        |    845    |    584    |
|  Sam   |  Eggs  |   9   | 384.3333333333333  |    815    |     80    |
|  Boo   | Butter |   1   | 588.6666666666666  |    983    |    117    |
|  Boo   |  Ice   |   5   |       741.0        |    880    |    551    |
|  Dan   | Butter |   6   |       686.75       |    990    |    441    |
| Helen  |  Ice   |   1   |       335.0        |    435    |    235    |
|  Dan   | Grapes |   5   |       390.5        |    694    |    185    |
| Wally  |  Ham   |   8   |       478.5        |    668    |    289    |
| Emily  | Butter |   10  |       678.25       |    872    |    495    |
|  Dan   | Dates  |   3   |       294.0        |    999    |     21    |
